Feature Id,Importances
36,13.094369787037289
12,11.696822481301957
21,7.579062310304331
3,4.214818605290459
9,3.3519472848769207
10,3.337564881484461
17,3.316858301118511
26,3.2343514056515943
18,2.865292141357405
13,2.6453700651071004
22,2.6042812576723215
20,2.4390162353105596
25,2.387038417184243
37,2.3755108924742485
7,2.1602053244782686
11,2.1066965099755772
19,2.0828862820548064
15,2.0262456484010998
16,1.8722047520114782
1,1.865313636562867
14,1.8491824951287343
5,1.8345796712631013
8,1.8260605911887406
2,1.6633673948526784
0,1.653345806830579
4,1.5234100311986951
6,1.5189359856368307
33,1.3050308288712145
23,1.2908065321185394
32,1.1989864311476301
28,1.1163270791841076
24,1.0193443764815453
34,0.9812283033158037
30,0.9562753730306154
29,0.9466242151949174
31,0.7982654934780883
35,0.6871102769033437
27,0.5752628945193293
